Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2025-02-28
Periodicidade da Medicao: Mensal

Data Medicao;NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);
2019-01-31;6.8;null;305.9;926.1;31.9;25.2;20.4;74;5.8;1.9;
2019-02-28;7.7;null;323.2;924.3;28.6;23.2;19.6;75.4;5;2.2;
2019-03-31;8.5;null;239.6;926.3;28.4;22.9;19.3;76.8;5;2.4;
2019-04-30;7.4;null;148.1;925.6;27.8;22.5;18.9;74.6;4.8;2;
2019-05-31;8;null;53.7;926.5;25.6;20.6;17.2;74.8;5;2;
2019-06-30;5.1;null;42.3;930.3;24.3;19.1;15.3;69;6;2;
2019-07-31;5.3;null;156;929.5;23.2;17.2;12.8;66.9;5.8;2.3;
2019-08-31;6.7;null;3.3;931.3;23.9;17.9;13.6;70.2;6.6;2.9;
2019-09-30;7.3;null;78.5;927.7;25.9;20.1;16;72.7;6.6;2.6;
2019-10-31;6.3;null;46.2;926.2;29.1;22.5;17.9;70.6;5.8;2.6;
2019-11-30;8.7;null;111.2;924.1;27.3;21.6;17.9;75.8;6.3;2.8;
2019-12-31;8;null;266.5;924.2;28.3;22.7;19.1;75.1;5.6;2.6;
2020-01-31;8.1;16;287.4;923;28.5;23.2;19.4;75.2;7.8;2.4;
2020-02-29;8.9;22;505.7;925;27;22.6;19.5;83.5;5;2.5;
2020-03-31;7.4;12;null;925.6;27.8;21.9;18.2;74.5;5.1;2.6;
