Data;Endereco;Sentido;referencia;Hora_inicio;Hora_fim;Classificacao
17/01/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;18:32;21:53;TRANSITAVEL
17/01/2019;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;18:41;19:02;INTRANSITAVEL
17/01/2019;AV NSRA DO O;AMBOS;AV ANTONIO MUNHOZ BONILHA;18:58;19:02;INTRANSITAVEL
17/01/2019;AV NSRA DO O;CENTRO;AV PROF CELESTINO BOURROUL;19:09;19:42;TRANSITAVEL
30/01/2019;AV NSRA DO O;CENTRO;AV PROF CELESTINO BOURROUL;17:12;18:02;INTRANSITAVEL
30/01/2019;AV NSRA DO O;AMBOS;R NELSON FRANCISCO;17:13;18:04;TRANSITAVEL
30/01/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;17:23;18:45;INTRANSITAVEL
30/01/2019;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;17:24;19:58;INTRANSITAVEL
30/01/2019;AV BRAZ LEME;CENTRO;R DR MELLO NOGUEIRA;17:30;18:23;INTRANSITAVEL
30/01/2019;AV OLAVO FONTOURA;C VERDE;PTE CASA VERDE;18:02;18:45;TRANSITAVEL
04/02/2019;MARGINAL TIETE;A SENNA;PTE DO LIMAO;03:56;10:01;TRANSITAVEL
15/02/2019;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;21:33;21:45;TRANSITAVEL
21/02/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;19:30;20:53;TRANSITAVEL
26/02/2019;AV INAJAR DE SOUZA;FREGUESIA;R ANTONIO DE COUROS;13:50;14:23;TRANSITAVEL
26/02/2019;AV OLAVO FONTOURA;AMBOS;ALTURA DO NUMERO 1400;14:02;14:15;TRANSITAVEL
27/02/2019;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;20:30;21:01;INTRANSITAVEL
28/02/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;12:03;15:37;TRANSITAVEL
02/03/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;19:16;22:58;INTRANSITAVEL
02/03/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;23:06;02:11;TRANSITAVEL
09/03/2019;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;17:59;18:56;TRANSITAVEL
11/03/2019;MARGINAL TIETE;A SENNA;PTE DO LIMAO;02:52;07:32;TRANSITAVEL
11/03/2019;AV OTAVIANO ALVES DE LIMA;A SENNA;PTE FREGUESIA DO O;03:49;06:30;TRANSITAVEL
11/03/2019;MARGINAL TIETE;A SENNA;PTE FREGUESIA DO O;03:49;03:54;INTRANSITAVEL
11/03/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;04:49;08:48;TRANSITAVEL
12/03/2019;AVENIDA ENGENHEIRO CAETANO ALVARES;AMBOS;RUA ZILDA;18:00;18:50;INTRANSITAVEL
12/03/2019;AV ORDEM E PROGRESSO;LIMAO;PC DEL AMOROSO NETO;18:35;18:42;TRANSITAVEL
08/04/2019;MARGINAL TIETE;A SENNA;PTE DO LIMAO;17:46;18:38;TRANSITAVEL
08/04/2019;AV INAJAR DE SOUZA;FREGUESIA;R EDMUNDO KRUG;17:58;18:00;TRANSITAVEL
09/04/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;17:06;18:26;TRANSITAVEL
26/04/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;15:21;17:10;TRANSITAVEL
05/05/2019;AV ANTONIO MUNHOZ BONILHA;BAIRRO;AV NSRA DO O;18:33;18:38;INTRANSITAVEL
05/05/2019;MARGINAL TIETE;A SENNA;PTE DO LIMAO;18:47;19:25;TRANSITAVEL
05/05/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;19:57;21:12;TRANSITAVEL
03/06/2019;AV INAJAR DE SOUZA;LAPA;R EDMUNDO KRUG;12:01;12:32;TRANSITAVEL
04/07/2019;MARGINAL TIETE;A SENNA;PTE DO LIMAO;06:32;09:25;TRANSITAVEL
04/07/2019;AV INAJAR DE SOUZA;LAPA;R EDMUNDO KRUG;07:51;08:13;TRANSITAVEL
01/09/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;14:01;17:47;TRANSITAVEL
05/11/2019;AV ANTONIO MUNHOZ BONILHA;CENTRO-BAIRRO;ALTURA DO NUMERO 130;18:02;18:32;TRANSITAVEL
14/11/2019;AV ANTONIO MUNHOZ BONILHA;AMBOS;ALTURAR DO NUMERO 130;19:38;19:43;TRANSITAVEL
27/11/2019;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;17:45;18:09;TRANSITAVEL
09/12/2019;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;15:40;15:52;TRANSITAVEL
10/12/2019;AV ANTONIO MUNHOZ BONILHA;ÚNICO;AV NSRA DO O;17:57;18:58;INTRANSITAVEL
14/12/2019;AV ANTONIO MUNHOZ BONILHA;ÚNICO;AV NSRA DO O;16:30;16:43;INTRANSITAVEL
17/12/2019;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;15:58;16:34;TRANSITAVEL
31/12/2019;MARGINAL TIETE;A SENNA;PTE DO LIMAO;15:26;16:25;TRANSITAVEL
31/12/2019;MARGINAL TIETE;A SENNA;PTE CASA VERDE;15:27;16:26;TRANSITAVEL
01/01/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;20:05;20:38;TRANSITAVEL
04/01/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;15:52;17:07;TRANSITAVEL
08/01/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;19:00;19:48;TRANSITAVEL
08/01/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;23:30;03:34;TRANSITAVEL
08/01/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;23:32;04:12;TRANSITAVEL
08/01/2020;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;23:58;00:57;TRANSITAVEL
09/01/2020;AV INAJAR DE SOUZA;LAPA;R EDMUNDO KRUG;01:13;01:41;TRANSITAVEL
12/01/2020;MARGINAL TIETE;A SENNA;PTE CASA VERDE;14:41;16:16;TRANSITAVEL
16/01/2020;MARGINAL TIETE;A SENNA;PTE DO LIMAO;16:02;16:44;TRANSITAVEL
16/01/2020;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;16:03;17:00;INTRANSITAVEL
