Data_Medicao;NEBULOSIDADE_MEDIA MENSAL;PRECIP. PLUV_MENSAL;PRECIPITACAO_TOTAL_MENSAL;PRESSAO ATMOSFERICA_MEDIA MENSAL;TEMPERATURA_MAXIMA_MEDIAMENSAL;TEMPERATURA_MEDIA_COMPENSADAMENSAL;TEMPERATURA_MINIMA_MEDIA,MENSAL;UMIDADE_RELATIVA_AR_MEDIAMENSAL;VENTO_VELOCIDADE_MAXIMA_MENSAL;VENTO_VELOCIDADE_MEDIAMENSAL
31/01/2020;8.1;16;287.4;923;28.5;23.2;19.4;75.2;7.8;2.4
29/02/2020;8.9;22;505.7;925;27;22.6;19.5;83.5;5;2.5
31/03/2020;7.4;12;null;925.6;27.8;21.9;18.2;74.5;5.1;2.6
30/04/2020;null;null;null;null;null;null;null;null;null;null
31/05/2020;null;null;null;null;null;null;null;null;null;null
30/06/2020;null;null;null;null;null;null;null;null;null;null
31/07/2020;null;null;null;null;null;null;null;null;null;null
31/08/2020;null;null;null;null;null;null;null;null;null;null
30/09/2020;null;null;null;null;null;null;null;null;null;null
31/10/2020;null;null;null;null;null;null;null;null;null;null
30/11/2020;null;null;null;null;null;null;null;null;null;null
31/12/2020;null;null;null;null;null;null;null;null;null;null
31/01/2021;null;null;null;null;null;null;null;null;null;null
28/02/2021;null;null;null;null;null;null;null;null;null;null
31/03/2021;null;4;null;925.4;null;null;null;null;4.1;1.4
30/04/2021;null;null;null;null;null;null;null;null;null;null
31/05/2021;null;null;null;null;null;null;null;null;null;null
30/06/2021;null;2;null;929.4;20.9;null;13.2;null;3.3;1.2
31/07/2021;4.3;2;null;931.3;22.6;16;10.9;72;3.3;1
31/08/2021;5.5;6;44.4;929.5;24.8;19.1;14.7;67.8;9;1.4
30/09/2021;6.9;6;39.5;927.5;28.4;20.7;16.9;null;4.1;1.8
31/10/2021;9.3;11;91.9;926.6;24.5;19.4;16.1;null;5;1.8
30/11/2021;7.5;7;98.6;924.5;27.2;21.2;17.5;null;5;1.8
31/12/2021;8;11;127.3;923.4;26.8;21.3;18.3;null;4.1;1.5
31/01/2022;8.1;20;357.2;923.7;28.5;23.2;20.2;null;3.3;1.1
28/02/2022;7.4;10;68.1;924.8;29.1;23.2;19.8;null;3.3;1.2
31/03/2022;7.1;12;213.9;925.4;29.9;24.7;20.3;null;3.3;1.1
30/04/2022;null;3;null;null;null;null;null;null;null;null
31/05/2022;6.3;7;42.3;928;23;17.7;13.6;null;9.1;1.6
30/06/2022;6.3;4;32.3;928.1;22.9;18.2;13.5;null;3.3;1
31/07/2022;4.7;1;9;929.4;25.9;null;14.8;null;4.1;1.1
31/08/2022;7.7;4;22.8;929.4;23.7;17.6;12.9;null;5.8;2.1
30/09/2022;7.5;12;129.6;928.4;23.3;18;13.6;null;5;1.7
31/10/2022;7.9;10;95.9;925.5;27.3;21.6;16.9;null;8.3;1.4
30/11/2022;7.6;14;181.6;925.3;25.9;19.4;15;72.7;4.1;2
31/12/2022;8.3;16;159.8;922.9;27.4;22.1;18.3;77.2;4.1;1.5
31/01/2023;8.6;21;211;923.9;27.8;22.8;19.2;77.7;3.6;1.7
28/02/2023;8.6;25;428.9;924.5;28.6;23.3;19.7;78.6;3.3;1.7
31/03/2023;7.5;17;239.2;925.7;29.7;23.6;19.5;73.9;3.3;1.2
30/04/2023;7.8;12;106.8;925.8;25.8;20.6;17;76.2;4.1;1.4
31/05/2023;6.7;6;51.1;928.1;24.7;19.1;15.5;74.1;3.3;.9
30/06/2023;4.2;6;46.2;929.7;23.4;17.9;13.8;76.6;4.1;.9
31/07/2023;6.2;4;11;929.7;23.9;17.9;13.7;74;6.6;1.1
31/08/2023;5.9;6;28.3;927.5;25.9;19.7;15.4;68.9;4.1;1.3
30/09/2023;6.2;3;77.6;926.4;30.3;22.9;17.8;66.1;4.1;1.1
31/10/2023;8.5;14;356;924.2;27.1;21.7;18;78;4.1;1.3
30/11/2023;7.5;11;182.8;924.3;29.9;23.3;19.5;null;3.3;1.4
31/12/2023;6.8;10;95.9;923.8;31;24.6;20.1;68;3.5;1.4
31/01/2024;8.2;17;286.6;923.7;29.3;23.6;19.8;79.7;3.3;1.4
29/02/2024;8.1;14;231.9;925.4;30.1;24.1;20.4;76.1;3.3;1.2
31/03/2024;7.8;13;283.6;925.2;29.7;24;20.5;77.8;3.3;1.4
30/04/2024;7.3;4;16.6;926.1;29.5;23.3;19.3;71.4;3.3;1.2
31/05/2024;5.3;5;61.7;927;27.3;22.1;18;66.9;4.1;1.3
30/06/2024;3.8;0;0;928.6;26.3;20.1;15.6;65.6;4.1;1
31/07/2024;6.2;4;68;930.4;24;17.7;13.7;71.7;3.3;.8
31/08/2024;3.9;5;59;929.2;26.7;18.8;13.5;60.7;3.3;.9
30/09/2024;6.9;7;15.2;926.9;30.1;23.2;17.6;61.1;3.3;.9
31/10/2024;8.5;12;177.4;925.9;27.4;21.2;17.3;75.4;3.3;1.6
30/11/2024;8;10;122.5;924.3;27.7;22.2;18.6;75.5;4.1;1.5
31/12/2024;8.8;16;231;923.4;28.5;23.1;19.8;77.3;8.6;1.5
31/01/2025;8.5;17;334.2;923;29.5;23.9;20;75.5;3.3;1.2
28/02/2025;null;7;null;null;null;null;null;null;4.1;null
